rank,prev_rank,name,league,off,def,spi
576,576,Östersunds FK,Swedish Allsvenskan,0.65,1.97,17.92
577,577,Hamilton Academical,Scottish Premiership,0.67,2.02,17.87
578,578,IK Start,Norwegian Tippeligaen,0.67,2.04,17.68
579,580,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
580,579,Wigan,English League One,0.7,2.14,17.03
581,582,Mjondalen,Norwegian Tippeligaen,0.55,1.86,17.02
582,581,Ascoli,Italy Serie B,0.55,1.87,17.0
583,593,Plymouth Argyle,English League One,0.72,2.19,16.93
584,584,Charlotte Independence,United Soccer League,0.66,2.09,16.87
585,585,North Carolina FC,United Soccer League,0.65,2.09,16.69
586,588,Swindon Town,English League One,0.8,2.36,16.53
587,587,LA Galaxy II,United Soccer League,0.84,2.45,16.26
588,583,Ross County,Scottish Premiership,0.63,2.1,16.01
589,586,Reggiana,Italy Serie B,0.53,1.91,15.99
590,597,Oldham Athletic,English League Two,0.8,2.46,15.57
591,590,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
592,591,Tulsa Roughnecks,United Soccer League,0.62,2.14,15.51
593,589,Cheltenham Town,English League Two,0.48,1.87,15.26
594,594,Memphis 901 FC,United Soccer League,0.74,2.37,15.25
595,595,Carlisle United,English League Two,0.54,2.0,15.15
596,596,Crawley Town,English League Two,0.59,2.12,14.99
597,599,Mansfield Town,English League Two,0.59,2.14,14.72
598,592,Leyton Orient,English League Two,0.54,2.07,14.5
599,600,Burton Albion,English League One,0.75,2.47,14.39
600,598,Bristol Rovers,English League One,0.51,2.06,14.05
601,601,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
602,602,Hartford Athletic,United Soccer League,0.66,2.37,13.84
603,603,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
604,604,Real Monarchs SLC,United Soccer League,0.56,2.22,13.33
605,605,Las Vegas Lights FC,United Soccer League,0.67,2.44,13.32
606,607,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
607,609,Forest Green Rovers,English League Two,0.39,1.93,12.78
608,621,Tranmere Rovers,English League Two,0.46,2.1,12.64
609,608,Tacoma Defiance,United Soccer League,0.65,2.49,12.51
610,611,Portland Timbers 2,United Soccer League,0.79,2.78,12.37
611,612,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
612,606,AFC Wimbledon,English League One,0.52,2.26,12.14
613,610,Bolton,English League Two,0.51,2.26,12.08
614,614,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
615,615,Swope Park Rangers,United Soccer League,0.62,2.56,11.56
616,617,Cambridge United,English League Two,0.37,2.02,11.44
617,619,Newport County,English League Two,0.37,2.04,11.36
618,618,Barrow,English League Two,0.44,2.21,11.24
619,620,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.27,11.15
620,622,Northampton Town,English League One,0.42,2.22,10.81
621,628,Morecambe,English League Two,0.43,2.25,10.69
622,616,Port Vale,English League Two,0.47,2.36,10.56
623,613,Colchester United,English League Two,0.4,2.21,10.5
624,623,Aalesund,Norwegian Tippeligaen,0.59,2.64,10.37
625,624,Oklahoma City Energy FC,United Soccer League,0.42,2.3,10.16
626,630,Walsall,English League Two,0.39,2.23,10.07
627,625,New York Red Bulls II,United Soccer League,0.64,2.79,10.04
628,626,Rio Grande Valley FC Toros,United Soccer League,0.47,2.42,10.01
629,627,Atlanta United 2,United Soccer League,0.57,2.67,9.86
630,629,Bradford City,English League Two,0.23,1.96,9.1
631,633,Scunthorpe,English League Two,0.3,2.3,8.08
632,631,Stevenage,English League Two,0.2,2.08,7.68
633,632,Southend United,English League Two,0.2,2.18,7.05
634,634,Harrogate Town,English League Two,0.2,2.22,6.79
635,635,Loudoun United FC,United Soccer League,0.34,2.65,6.51
636,636,Bethlehem Steel FC,United Soccer League,0.41,2.99,5.78
637,637,Grimsby Town,English League Two,0.2,2.49,5.39
